"actividad","descripcion","tipoactividad","orden","sistema","activo","fecharegistro","usuario"
"001","MATRÍCULA","R","3","1","1",NULL,NULL
"002","MATRÍCULA EXTEMPORÁNEA","R","4","1","1",NULL,NULL
"003","PERIODO DE CLASES","R","5","1","1",NULL,NULL
"004","EVALUACIÓN DE APLAZADOS","R","19","1","0",NULL,NULL
"005","EVALUACIÓN FINAL","R","16","0","1",NULL,NULL
"006","PROGRAMACIÓN ACADÉMICA","R","2","1","1",NULL,NULL
"007","IMPRESION DE ACTAS","R","24","1","1",NULL,NULL
"008","INFORMACIÓN DE MATRÍCULA","R","1","0","0",NULL,NULL
"009","TÉRMINO DE CLASES","R","21","0","1",NULL,NULL
"010","PROCESAMIENTO DE BECAS","R","12","0","1",NULL,NULL
"011","REGULARIZACIÓN DE MATRÍCULAS","R","15","0","0",NULL,NULL
"012","EVALUACIÓN DE REZAGADOS","R","18","1","0",NULL,NULL
"013","INSCRIPCIÓN","A","13","1","1",NULL,NULL
"014","PROGRAMACION VACANTES","A","17","1","1",NULL,NULL
"015","EXAMEN DE ADMISIÓN","A","20","1","1",NULL,NULL
"016","VACANTES","A","22","1","1",NULL,NULL
"017","INGRESO DE NOTAS APLAZADAS","R","27","1","1",NULL,NULL
"018","CAMBIO DE CURRICULA","R","14","1","1","2017-10-02 12:24:35","41360208"
"019","HOMOLOGACIÓN DE CURSOS CO-CURRICULARES","R","29","1","1","2018-01-24 17:37:10","41360208"
"020","HOMOLOGACIÓN DE PRÁCTICAS PRE PROFESIONALES","R","6","1","0","2018-01-24 18:12:30","41360208"
"021","EQUIVALENCIA POR ALUMNO","R","7","1","1","2018-01-24 18:12:48","41360208"
"022","REGISTRO DE EXAMEN DE SUBSANACIÓN","R","8","1","0","2018-01-24 18:13:08","41360208"
"023","REGISTRO DE EXAMEN DE EXCELENCIA","R","9","1","0","2018-01-24 18:13:24","41360208"
"024","REGISTRO DE CONVALIDACIÓN","R","11","1","1","2018-01-24 18:15:25","41360208"
"025","REGISTRAR SILABUS","R","10","0","1","2018-02-01 11:33:55","41360208"
"026","REGISTRO DE NOTAS (ADMINISTRATIVO)","R","26","1","1","2018-03-23 17:23:13","44704441"
"027","CIERRE DE NOTA","R","22","1","1","2018-03-26 18:23:13","44704441"
"028","CAMBIO DE CARRERA","R","99","1","1","2018-08-25 11:07:25","44704441"
"029","PRORROGA DE INGRESO DE NOTAS","R",NULL,"1","1","2019-01-30 18:47:43","41360208"
